business_id,nome,cnpj,categoria,setor,cidade,estado,endereco,data_abertura,num_funcionarios,email,telefone,data_ingestao
BUS0045,Top Assessoria De Crédito Express,64090974395352,SERVICOS,Serviços Financeiros,Campinas,SP,"Av. Paulista, 645",2008-11-25,18,contato@topassessoriadecréditoexpress.com.br,(91) 3795-1645,2026-08-03 22:39:15
BUS0046,Alfa Loja De Informática Vip,14562328588413,TECNOLOGIA,Tecnologia,São Paulo,SP,"Rua 7 de Setembro, 273",2015-05-24,44,contato@alfalojadeinformáticavip.com.br,(25) 6836-2233,2026-08-03 22:39:15
BUS0047,Global Academia Ltda,85160481754907,SAUDE,Saúde & Fitness,Vitória,ES,"Av. Brasil, 852",2020-06-04,30,contato@globalacademialtda.com.br,(71) 3205-6374,2026-08-03 22:39:15
BUS0048,Bom Contabilidade Me,46120047113806,SERVICOS,Serviços Financeiros,Florianópolis,SC,"Rua 7 de Setembro, 407",2014-06-22,70,contato@bomcontabilidademe.com.br,(64) 7811-3531,2026-08-03 22:39:15
BUS0049,Real Reforço Escolar Ltda,40537735158559,EDUCACAO,Educação,Rio de Janeiro,RJ,"Rua das Flores, 417",2008-04-04,59,contato@realreforçoescolarltda.com.br,(22) 8429-4475,2026-08-03 22:39:15
BUS0050,Master Contabilidade Executivo,93183933529011,SERVICOS,Serviços Financeiros,São Paulo,SP,"Rua XV de Novembro, 889",2004-03-18,33,contato@mastercontabilidadeexecutivo.com.br,(33) 3900-1422,2026-08-03 22:39:15
BUS0051,Ideal Academia Vip,40268117758906,SAUDE,Saúde & Fitness,Salvador,BA,"Av. Central, 472",2016-04-20,6,contato@idealacademiavip.com.br,(95) 7271-5941,2026-08-03 22:39:15
BUS0052,Doce Pinturas Me,61771159212460,CASA,Casa & Reformas,São Paulo,SP,"Rua Sete de Abril, 658",2018-09-23,42,contato@docepinturasme.com.br,(59) 7893-9692,2026-08-03 22:39:15
BUS0053,Alfa Loja De Informática Ltda,18367365766117,TECNOLOGIA,Tecnologia,Brasília,DF,"Rua das Palmeiras, 447",2010-11-09,48,contato@alfalojadeinformáticaltda.com.br,(30) 8626-8770,2026-08-03 22:39:15
BUS0054,Bom Salão De Beleza Premium,52809885165681,BELEZA,Beleza & Estética,Vitória,ES,"Rua das Flores, 304",2019-05-12,14,contato@bomsalãodebelezapremium.com.br,(84) 7156-4485,2026-08-03 22:39:15
BUS0055,Ideal Clínica De Estética Premium,85149368998030,SAUDE,Saúde & Fitness,Fortaleza,CE,"Rua Sete de Abril, 961",2021-12-09,4,contato@idealclínicadeestéticapremium.com.br,(34) 5238-6062,2026-08-03 22:39:15
BUS0056,Prime Mercado Popular,61201836675260,VAREJO,Varejo & Moda,São Paulo,SP,"Rua das Palmeiras, 329",2023-06-25,73,contato@primemercadopopular.com.br,(87) 3695-1861,2026-08-03 22:39:15
BUS0057,Alfa Academia Mais,47679764381597,SAUDE,Saúde & Fitness,Manaus,AM,"Av. Brasil, 123",2009-11-22,76,contato@alfaacademiamais.com.br,(73) 7316-6053,2026-08-03 22:39:15
BUS0058,Alfa Restaurante Mais,43244510762203,RESTAURANTES,Alimentação,Recife,PE,"Av. Brasil, 555",2022-04-17,72,contato@alfarestaurantemais.com.br,(96) 9604-6802,2026-08-03 22:39:15
BUS0059,Casa Barbearia Mais,71596966416019,BELEZA,Beleza & Estética,Vitória,ES,"Rua das Palmeiras, 185",2019-08-27,47,contato@casabarbeariamais.com.br,(22) 6577-2734,2026-08-03 22:39:15
BUS0060,Central Auto Peças Premium,45352181883543,AUTOMOTIVO,Oficinas & Automotivo,Campinas,SP,"Rua das Palmeiras, 754",2020-03-08,14,contato@centralautopeçaspremium.com.br,(29) 5096-4232,2026-08-03 22:39:15
BUS0061,Global Clínica De Estética Premium,77997995527148,SAUDE,Saúde & Fitness,Belo Horizonte,MG,"Rua do Comércio, 462",2020-05-26,36,contato@globalclínicadeestéticapremium.com.br,(86) 3460-6766,2026-08-03 22:39:15
BUS0062,Real Pet Shop Me,54119986798004,PET,Pet,Porto Alegre,RS,"Rua do Comércio, 940",2018-11-07,42,contato@realpetshopme.com.br,(88) 6896-9214,2026-08-03 22:39:15
BUS0063,Bom Academia Vip,18203778892544,SAUDE,Saúde & Fitness,Fortaleza,CE,"Rua das Palmeiras, 949",2009-07-14,44,contato@bomacademiavip.com.br,(97) 7897-1857,2026-08-03 22:39:15
BUS0064,Bom Boutique Ltda,92519254629142,VAREJO,Varejo & Moda,Salvador,BA,"Rua XV de Novembro, 582",2012-11-26,43,contato@bomboutiqueltda.com.br,(27) 8489-9624,2026-08-03 22:39:15
BUS0065,Central Studio De Sobrancelhas Vip,42357332214135,BELEZA,Beleza & Estética,Florianópolis,SC,"Av. Rio Branco, 799",2017-12-17,5,contato@centralstudiodesobrancelhasvip.com.br,(95) 5758-3147,2026-08-03 22:39:15
BUS0066,Prime Assessoria De Crédito Popular,92706537947308,SERVICOS,Serviços Financeiros,Belo Horizonte,MG,"Av. Rio Branco, 254",2009-08-27,25,contato@primeassessoriadecréditopopular.com.br,(58) 8556-8218,2026-08-03 22:39:15
BUS0067,Central Escritório De Arquitetura Ltda,39240758181412,CASA,Casa & Reformas,Manaus,AM,"Av. Central, 791",2005-05-15,66,contato@centralescritóriodearquiteturaltda.com.br,(29) 9807-8167,2026-08-03 22:39:15
BUS0068,Real Salão De Beleza Vip,60685361530530,BELEZA,Beleza & Estética,Vitória,ES,"Av. Central, 869",2022-11-11,19,contato@realsalãodebelezavip.com.br,(28) 3313-5700,2026-08-03 22:39:15
BUS0069,Prime Pinturas Me,01043289861429,CASA,Casa & Reformas,Vitória,ES,"Av. Paulista, 318",2003-01-08,54,contato@primepinturasme.com.br,(92) 9503-8489,2026-08-03 22:39:15
BUS0070,Real Salão De Beleza Mais,93246095396266,BELEZA,Beleza & Estética,Vitória,ES,"Av. Central, 546",2011-02-17,70,contato@realsalãodebelezamais.com.br,(75) 9442-9316,2026-08-03 22:39:15
BUS0071,Real Pet Shop Mais,54051531952001,PET,Pet,Recife,PE,"Rua das Palmeiras, 569",2010-11-06,60,contato@realpetshopmais.com.br,(72) 8175-3986,2026-08-03 22:39:15
BUS0072,Real Academia Mais,03054868740360,SAUDE,Saúde & Fitness,Goiânia,GO,"Rua XV de Novembro, 375",2024-01-28,43,contato@realacademiamais.com.br,(45) 4019-7029,2026-08-03 22:39:15
BUS0073,Real Curso Técnico Ltda,27758416169205,EDUCACAO,Educação,Goiânia,GO,"Av. Rio Branco, 310",2010-02-03,42,contato@realcursotécnicoltda.com.br,(95) 5421-6021,2026-08-03 22:39:15
BUS0074,Central Escritório De Arquitetura Ltda,57059640165860,CASA,Casa & Reformas,Goiânia,GO,"Rua 7 de Setembro, 985",2000-03-28,78,contato@centralpinturaspopular.com.br,(97) 9400-8179,2026-08-03 22:39:15
BUS0075,Ideal Restaurante Vip,90927557192803,RESTAURANTES,Alimentação,Rio de Janeiro,RJ,"Rua das Palmeiras, 417",2010-11-09,32,contato@idealrestaurantevip.com.br,(25) 3212-4048,2026-08-03 22:39:15
BUS0076,Nova Pinturas Premium,47394731217296,CASA,Casa & Reformas,Recife,PE,"Rua do Comércio, 99",2021-06-22,45,contato@novapinturaspremium.com.br,(19) 7505-9882,2026-08-03 22:39:15
BUS0077,Prime Loja De Informática Popular,83132370589570,TECNOLOGIA,Tecnologia,Vitória,ES,"Rua do Comércio, 832",2017-03-20,12,contato@primelojadeinformáticapopular.com.br,(19) 5533-7523,2026-08-03 22:39:15
BUS0078,Central Pinturas Premium,51778528922601,CASA,Casa & Reformas,Recife,PE,"Av. Rio Branco, 942",2001-02-17,20,contato@centralpinturaspremium.com.br,(49) 4348-3653,2026-08-03 22:39:15
BUS0079,Master Farmácia Express,43842498182909,VAREJO,Varejo & Moda,Curitiba,PR,"Rua Sete de Abril, 167",2005-11-20,78,contato@masterfarmáciaexpress.com.br,(54) 9902-1674,2026-08-03 22:39:15
BUS0080,Global Padaria Express,96907844736447,RESTAURANTES,Alimentação,São Paulo,SP,"Rua do Comércio, 84",2022-01-06,57,contato@globalpadariaexpress.com.br,(64) 6966-8609,2026-08-03 22:39:15
BUS0081,Prime Auto Peças Vip,55625881537105,AUTOMOTIVO,Oficinas & Automotivo,Campinas,SP,"Rua XV de Novembro, 470",2007-03-04,7,contato@primeautopeçasvip.com.br,(48) 6146-7850,2026-08-03 22:39:15
BUS0082,Master Oficina Mecânica Vip,27877470168702,AUTOMOTIVO,Oficinas & Automotivo,Vitória,ES,,2018-06-02,7,contato@masteroficinamecânicavip.com.br,(47) 7054-8710,2026-08-03 22:39:15
BUS0083,Bom Desenvolvimento Web Ltda,45650609835807,TECNOLOGIA,Tecnologia,São Paulo,SP,"Rua XV de Novembro, 85",2012-09-15,71,contato@bomdesenvolvimentowebltda.com.br,(46) 9760-2946,2026-08-03 22:39:15
BUS0084,Master Academia Vip,52398680002514,SAUDE,Saúde & Fitness,Recife,PE,"Rua do Comércio, 541",2014-03-20,66,contato@masteracademiavip.com.br,(28) 5686-6218,2026-08-03 22:39:15
BUS0085,Casa Studio De Pilates Express,88879470551696,SAUDE,Saúde & Fitness,Campinas,SP,"Rua Sete de Abril, 325",2023-12-21,4,contato@casastudiodepilatesexpress.com.br,(87) 6887-5350,2026-08-03 22:39:15
BUS0086,Casa Consultoria Financeira Mais,28962309130719,SERVICOS,Serviços Financeiros,Curitiba,PR,"Rua das Palmeiras, 438",2004-07-23,27,contato@casaconsultoriafinanceiramais.com.br,(63) 7110-8726,2026-08-03 22:39:15
BUS0087,Ideal Restaurante Vip,78652785854971,RESTAURANTES,Alimentação,Brasília,DF,"Rua do Comércio, 206",2007-05-18,39,contato@idealrestaurantevip.com.br,(39) 5438-5735,2026-08-03 22:39:15
BUS0088,Real Lava-Rápido Vip,84419866524031,AUTOMOTIVO,Oficinas & Automotivo,Goiânia,GO,"Rua XV de Novembro, 988",2022-02-12,57,contato@reallava-rápidovip.com.br,(94) 5100-8849,2026-08-03 22:39:15
BUS0089,Nova Oficina Mecânica Express,42199330833060,AUTOMOTIVO,Oficinas & Automotivo,Vitória,ES,"Av. Central, 433",2010-12-16,13,contato@novaoficinamecânicaexpress.com.br,(98) 9314-3252,2026-08-03 22:39:15
BUS0090,Prime Sushi Ltda,77345401938092,RESTAURANTES,Alimentação,Niterói,RJ,"Rua 7 de Setembro, 437",2005-01-27,51,contato@primesushiltda.com.br,(74) 4526-5742,2026-08-03 22:39:15
BUS0091,Alfa Padaria Premium,54788728743100,RESTAURANTES,Alimentação,Porto Alegre,RS,"Rua das Palmeiras, 176",2023-08-21,33,contato@alfapadariapremium.com.br,(34) 3115-6523,2026-08-03 22:39:15
BUS0092,Ideal Desenvolvimento Web Popular,,TECNOLOGIA,Tecnologia,Florianópolis,SC,"Rua das Flores, 277",2012-04-15,35,contato@idealdesenvolvimentowebpopular.com.br,(53) 5473-1187,2026-08-03 22:39:15
BUS0093,Casa Desenvolvimento Web Executivo,17426841459314,TECNOLOGIA,Tecnologia,Salvador,BA,"Av. Paulista, 990",2004-08-05,59,contato@casadesenvolvimentowebexecutivo.com.br,(88) 6060-7813,2026-08-03 22:39:15
BUS0094,Nova Banho & Tosa Executivo,91878519108837,PET,Pet,Manaus,AM,"Av. Paulista, 596",2017-03-06,42,contato@novabanhotosaexecutivo.com.br,(77) 6619-2904,2026-08-03 22:39:15
BUS0095,Real Lava-Rápido Premium,70728679087482,AUTOMOTIVO,Oficinas & Automotivo,Campinas,SP,"Rua das Flores, 415",2008-01-24,28,contato@reallava-rápidopremium.com.br,(85) 3598-1742,2026-08-03 22:39:15
BUS0096,Bom Curso Técnico Mais,17046226567606,EDUCACAO,Educação,Goiânia,GO,"Av. Brasil, 92",2021-11-28,70,contato@bomcursotécnicomais.com.br,(28) 8353-6697,2026-08-03 22:39:15
BUS0097,Central Salão De Beleza Popular,,BELEZA,Beleza & Estética,Brasília,DF,"Rua das Palmeiras, 168",2008-04-24,15,contato@centralsalãodebelezapopular.com.br,(15) 9631-7868,2026-08-03 22:39:15
BUS0098,Ideal Contabilidade Premium,07903067383092,SERVICOS,Serviços Financeiros,Curitiba,PR,"Rua 7 de Setembro, 525",2009-04-27,74,contato@idealcontabilidadepremium.com.br,(51) 7730-6253,2026-08-03 22:39:15
BUS0099,Prime Auto Peças Executivo,40892687056862,AUTOMOTIVO,Oficinas & Automotivo,Niterói,RJ,"Rua das Palmeiras, 723",2013-07-05,39,contato@primeautopeçasexecutivo.com.br,(59) 4506-9813,2026-08-03 22:39:15
BUS0100,Ideal Imobiliária Express,27086688263482,CASA,Casa & Reformas,Vitória,ES,"Av. Paulista, 348",2020-02-15,48,contato@idealimobiliáriaexpress.com.br,(22) 7387-4120,2026-08-03 22:39:15
BUS0101,Global Pizzaria Mais,39837354033134,RESTAURANTES,Alimentação,Recife,PE,"Rua do Comércio, 946",2007-12-20,27,contato@globalpizzariamais.com.br,(61) 4960-6269,2026-08-03 22:39:15
BUS0102,Nova Loja De Informática Vip,58771753556022,TECNOLOGIA,Tecnologia,Fortaleza,CE,"Rua Sete de Abril, 894",2007-12-05,3,contato@novalojadeinformáticavip.com.br,(44) 7532-7841,2026-08-03 22:39:15
BUS0103,Master Consultoria De Ti Executivo,37854777252289,TECNOLOGIA,Tecnologia,Curitiba,PR,"Av. Rio Branco, 510",2005-09-21,8,contato@masterconsultoriadetiexecutivo.com.br,(78) 3277-2217,2026-08-03 22:39:15
BUS0104,Prime Padaria Executivo,20387509977000,RESTAURANTES,Alimentação,Recife,PE,"Rua das Flores, 554",2017-07-01,3,contato@primepadariaexecutivo.com.br,(78) 8916-5501,2026-08-03 22:39:15
BUS0105,Nova Banho & Tosa Ltda,21182339845428,PET,Pet,São Paulo,SP,"Av. Brasil, 90",2011-07-15,73,contato@novabanhotosaltda.com.br,(42) 8711-4700,2026-08-03 22:39:15
BUS0106,Bom Desenvolvimento Web Mais,66870021765954,TECNOLOGIA,Tecnologia,Vitória,ES,"Av. Central, 926",2016-01-08,28,contato@bomdesenvolvimentowebmais.com.br,(99) 7643-8790,2026-08-03 22:39:15
BUS0107,Bom Consultoria De Ti Express,90250392614200,TECNOLOGIA,Tecnologia,Niterói,RJ,"Rua Sete de Abril, 256",2018-07-22,70,contato@bomconsultoriadetiexpress.com.br,(53) 6144-3292,2026-08-03 22:39:15
BUS0108,Master Studio De Sobrancelhas Mais,31599965047725,BELEZA,Beleza & Estética,Goiânia,GO,"Av. Paulista, 374",2017-07-14,24,contato@masterstudiodesobrancelhasmais.com.br,(98) 7799-7227,2026-08-03 22:39:15
BUS0109,Ideal Studio De Sobrancelhas Premium,26265511047516,BELEZA,Beleza & Estética,Porto Alegre,RS,"Rua XV de Novembro, 114",2004-02-06,56,contato@idealstudiodesobrancelhaspremium.com.br,(68) 7562-9395,2026-08-03 22:39:15
BUS0110,Bom Escola De Idiomas Vip,99560466183947,EDUCACAO,Educação,São Paulo,SP,"Av. Rio Branco, 183",2021-07-06,18,contato@bomescoladeidiomasvip.com.br,(45) 5466-5397,2026-08-03 22:39:15
BUS0111,Prime Imobiliária Ltda,47154379937141,CASA,Casa & Reformas,Rio de Janeiro,RJ,"Rua 7 de Setembro, 321",2000-07-11,80,contato@primeimobiliárialtda.com.br,(59) 9586-6399,2026-08-03 22:39:15
BUS0112,Global Escritório De Arquitetura Popular,93752654793551,CASA,Casa & Reformas,Recife,PE,"Av. Brasil, 297",2012-06-04,73,contato@globalescritóriodearquiteturapopular.com.br,(36) 7851-9939,2026-08-03 22:39:15
BUS0113,Nova Clínica De Estética Mais,73741672434202,SAUDE,Saúde & Fitness,Manaus,AM,"Av. Brasil, 818",2012-02-15,77,contato@novaclínicadeestéticamais.com.br,(72) 7769-7566,2026-08-03 22:39:15
BUS0114,Casa Veterinária Ltda,58911352909632,PET,Pet,Niterói,RJ,"Rua das Palmeiras, 998",2013-02-01,13,contato@casaveterinárialtda.com.br,(44) 4818-9366,2026-08-03 22:39:15
BUS0115,Casa Veterinária Executivo,67982507146104,PET,Pet,Campinas,SP,"Av. Central, 861",2023-03-12,40,contato@casaveterináriaexecutivo.com.br,(54) 6730-4389,2026-08-03 22:39:15
BUS0116,Real Banho & Tosa Premium,75140105123816,PET,Pet,Salvador,BA,"Rua 7 de Setembro, 575",2005-06-18,55,contato@realbanhotosapremium.com.br,(70) 4899-7636,2026-08-03 22:39:15
BUS0117,Global Academia Ltda,93796603341973,SAUDE,Saúde & Fitness,Florianópolis,SC,"Av. Central, 828",2017-03-12,42,contato@globalacademialtda.com.br,(36) 6748-2867,2026-08-03 22:39:15
BUS0118,Real Desenvolvimento Web Vip,96915579249963,TECNOLOGIA,Tecnologia,Vitória,ES,"Av. Central, 698",2004-06-04,31,contato@realdesenvolvimentowebvip.com.br,(50) 3958-3999,2026-08-03 22:39:15
BUS0119,Nova Farmácia Ltda,29662782827426,VAREJO,Varejo & Moda,Belo Horizonte,MG,"Rua 7 de Setembro, 201",2010-08-20,7,contato@novafarmácialtda.com.br,(56) 3078-8939,2026-08-03 22:39:15
BUS0120,Central Academia Me,76772190340491,SAUDE,Saúde & Fitness,Vitória,ES,"Av. Paulista, 560",2009-03-25,59,contato@centralacademiame.com.br,(83) 9082-9115,2026-08-03 22:39:15
