business_key,receita_total,qtd_vendas,ticket_medio,avaliacao_media,ultima_venda,nome,categoria,cidade,estado,regiao
36,811489.7473164594,3550,228.58866121590407,4.54442513756154,20260627,Alfa Escritório De Arquitetura Mais,CASA,Rio de Janeiro,RJ,SE
54,769160.7257139204,3471,221.5962909000059,3.8187649164677806,20260627,Bom Salão De Beleza Premium,BELEZA,Vitória,ES,SE
105,760328.0853710748,3456,220.00233951709342,4.214349642004773,20260627,Nova Banho & Tosa Ltda,PET,São Paulo,SP,SE
50,742627.408341056,3417,217.33316018175475,4.267934286583511,20260627,Master Contabilidade Executivo,SERVICOS,São Paulo,SP,SE
26,706286.9939080286,3270,215.98990639389254,4.46794425087108,20260627,Global Pizzaria Premium,RESTAURANTES,Curitiba,PR,S
34,704133.7191393895,3284,214.4134345735047,4.0458412098298675,20260627,Top Lava-Rápido Premium,AUTOMOTIVO,Curitiba,PR,S
6,691421.4184087794,3163,218.59671780233305,4.340457516339869,20260627,Doce Banho & Tosa Premium,PET,Brasília,DF,CO
74,684660.9381962945,3250,210.6649040603983,3.9202365728900257,20260627,Central Escritório De Arquitetura Ltda,CASA,Goiânia,GO,CO
69,660306.6140498648,3146,209.88767134452155,4.090326797385621,20260627,Prime Pinturas Me,CASA,Vitória,ES,SE
14,641983.250793347,3108,206.5583175010769,3.922596795727637,20260627,Nova Consultoria De Ti Express,TECNOLOGIA,Fortaleza,CE,NE
86,636277.4119593181,3000,212.09247065310603,4.009752699407872,20260627,Casa Consultoria Financeira Mais,SERVICOS,Curitiba,PR,S
49,616569.7180010829,3016,204.43293037171182,4.0628218331616885,20260627,Real Reforço Escolar Ltda,EDUCACAO,Rio de Janeiro,RJ,SE
90,604116.4651436816,2925,206.5355436388655,4.361179795125397,20260627,Prime Sushi Ltda,RESTAURANTES,Niterói,RJ,SE
20,599302.7985620833,2909,206.01677502993581,3.513654050229926,20260627,Ideal Pizzaria Ltda,RESTAURANTES,Porto Alegre,RS,S
28,584752.7282157778,2973,196.68776596561648,4.174313521028849,20260627,Real Hamburgueria Premium,RESTAURANTES,Vitória,ES,SE
32,581704.2620447744,2866,202.9672931070392,4.146702898550725,20260627,Top Padaria Popular,RESTAURANTES,Brasília,DF,CO
78,580508.538737228,2879,201.63547715777284,4.191549802229414,20260627,Central Pinturas Premium,CASA,Recife,PE,NE
17,572562.46203808,2898,197.5715880048585,4.466441040256501,20260627,Casa Consultoria De Ti Premium,TECNOLOGIA,Manaus,AM,N
85,568763.7136798613,2859,198.9379900943901,3.836625364431487,20260627,Casa Studio De Pilates Express,SAUDE,Campinas,SP,SE
22,567366.4108565436,2797,202.84819837559655,4.48380073800738,20260624,Real Barbearia Vip,BELEZA,Belo Horizonte,MG,SE
21,563182.3122632365,2844,198.02472301801564,3.860896501457726,20260626,Ideal Academia Me,SAUDE,São Paulo,SP,SE
111,548577.6288597925,2756,199.04848652387247,4.5715416509611755,20260627,Prime Imobiliária Ltda,CASA,Rio de Janeiro,RJ,SE
29,541389.8049495261,2748,197.01230165557718,4.2085585585585585,20260626,Global Pinturas Ltda,CASA,Campinas,SP,SE
80,516476.63532627653,2692,191.85610524750243,4.353031465848043,20260626,Global Padaria Express,RESTAURANTES,São Paulo,SP,SE
71,513826.77678025793,2609,196.94395430443004,3.994912559618442,20260626,Real Pet Shop Mais,PET,Recife,PE,NE
16,483581.33168952196,2575,187.79857541340658,3.4784738955823293,20260627,Top Escola De Idiomas Vip,EDUCACAO,São Paulo,SP,SE
56,476846.90006099857,2536,188.03111201143477,3.780769230769231,20260627,Prime Mercado Popular,VAREJO,São Paulo,SP,SE
107,463727.6905301411,2487,186.46067170492205,4.404102776626606,20260627,Bom Consultoria De Ti Express,TECNOLOGIA,Niterói,RJ,SE
38,459079.4313395658,2455,186.9977317065441,3.806281833616299,20260627,Ideal Escritório De Arquitetura Vip,CASA,São Paulo,SP,SE
100,430193.84589666605,2375,181.1342509038594,4.2733885017421605,20260627,Ideal Imobiliária Express,CASA,Vitória,ES,SE
27,413526.4377539316,2272,182.00987577197694,4.435122838944495,20260627,Alfa Studio De Pilates Mais,SAUDE,Rio de Janeiro,RJ,SE
53,384791.1143505331,2202,174.74619180314855,3.4272941176470586,20260627,Alfa Loja De Informática Ltda,TECNOLOGIA,Brasília,DF,CO
9,384211.2517542389,2149,178.7860641015537,4.469845857418112,20260627,Master Salão De Beleza Premium,BELEZA,Vitória,ES,SE
77,380885.1486930765,2170,175.52310999680944,4.041002386634845,20260627,Prime Loja De Informática Popular,TECNOLOGIA,Vitória,ES,SE
1,365027.30044782994,2163,168.75973206094773,4.003638104356152,20260627,Top Salão De Beleza Executivo,BELEZA,Goiânia,GO,CO
64,358642.6177120372,2069,173.34104287677002,4.3213997985901305,20260626,Bom Boutique Ltda,VAREJO,Salvador,BA,NE
84,352995.0816447666,2013,175.3577156705249,4.236438497169326,20260625,Master Academia Vip,SAUDE,Recife,PE,NE
66,351983.5778459277,2040,172.5409695323175,4.3983789260385,20260627,Prime Assessoria De Crédito Popular,SERVICOS,Belo Horizonte,MG,SE
65,343435.78455721587,1997,171.97585606270198,4.388559542381696,20260627,Central Studio De Sobrancelhas Vip,BELEZA,Florianópolis,SC,S
120,337910.8694054901,1977,170.92102650758224,4.006400839454354,20260626,Central Academia Me,SAUDE,Vitória,ES,SE
103,335822.9800427147,1986,169.09515611415642,4.065023352361183,20260627,Master Consultoria De Ti Executivo,TECNOLOGIA,Curitiba,PR,S
43,323243.5057428534,1918,168.53154626843244,4.2926580921757775,20260627,Top Imobiliária Mais,CASA,Goiânia,GO,CO
8,311368.1332678229,1852,168.12534193726938,4.11928849360756,20260627,Ideal Veterinária Executivo,PET,Recife,PE,NE
112,293214.32737518114,1790,163.80688680177718,4.028164924506388,20260627,Global Escritório De Arquitetura Popular,CASA,Recife,PE,NE
23,292605.2259691915,1795,163.01126794941032,4.081965317919075,20260627,Master Auto Peças Premium,AUTOMOTIVO,Salvador,BA,NE
52,287475.77897107863,1759,163.43136951169905,4.416365754222481,20260627,Doce Pinturas Me,CASA,São Paulo,SP,SE
33,267892.7472011672,1652,162.16267990385424,4.019211514392991,20260627,Alfa Academia Express,SAUDE,Manaus,AM,N
110,266018.4361969988,1660,160.25206999819204,4.41020663744521,20260627,Bom Escola De Idiomas Vip,EDUCACAO,São Paulo,SP,SE
61,240905.20563946513,1566,153.83474178765334,4.335492399206874,20260627,Global Clínica De Estética Premium,SAUDE,Belo Horizonte,MG,SE
2,234499.84089534354,1519,154.37777544130583,3.654891304347826,20260627,Doce Assessoria De Crédito Popular,SERVICOS,Manaus,AM,N
96,234447.8373509625,1533,152.93401001367417,4.159664429530201,20260627,Bom Curso Técnico Mais,EDUCACAO,Goiânia,GO,CO
60,219306.38318902993,1453,150.93350529183064,3.8357091945830364,20260627,Central Auto Peças Premium,AUTOMOTIVO,Campinas,SP,SE
109,209845.72424679506,1351,155.32622076002596,3.928230769230769,20260627,Ideal Studio De Sobrancelhas Premium,BELEZA,Porto Alegre,RS,S
30,206653.1980476017,1394,148.24476187058946,4.7619749447310245,20260627,Real Pinturas Me,CASA,Goiânia,GO,CO
24,204476.6517162365,1321,154.78928971706017,4.444028103044497,20260625,Top Imobiliária Ltda,CASA,Salvador,BA,NE
91,201908.55135931485,1310,154.12866515978232,3.710943695479778,20260623,Alfa Padaria Premium,RESTAURANTES,Porto Alegre,RS,S
39,201298.9750145782,1309,153.78072957569,3.6685579196217493,20260626,Bom Salão De Beleza Me,BELEZA,Vitória,ES,SE
40,201041.08973723164,1306,153.93651587843158,3.6136833731105806,20260626,Doce Farmácia Express,VAREJO,Porto Alegre,RS,S
7,200486.3659201904,1298,154.4579090294225,3.4968674698795184,20260627,Nova Boutique Mais,VAREJO,Brasília,DF,CO
98,198541.66533428745,1303,152.3727285758154,3.995063694267516,20260625,Ideal Contabilidade Premium,SERVICOS,Curitiba,PR,S
97,195765.66723472258,1339,146.2028881513985,3.6574615384615385,20260627,Central Salão De Beleza Popular,BELEZA,Brasília,DF,CO
92,187751.26960302264,1277,147.02526985358077,3.875202593192869,20260626,Ideal Desenvolvimento Web Popular,TECNOLOGIA,Florianópolis,SC,S
79,185756.4559122222,1264,146.9592214495429,4.028117359413203,20260625,Master Farmácia Express,VAREJO,Curitiba,PR,S
88,183778.77687583523,1222,150.3917977707326,3.9704778156996583,20260627,Real Lava-Rápido Vip,AUTOMOTIVO,Goiânia,GO,CO
58,182833.84948383403,1251,146.15015945949963,4.172133891213389,20260627,Alfa Restaurante Mais,RESTAURANTES,Recife,PE,NE
119,182180.52134568666,1230,148.11424499649323,4.444172297297297,20260624,Nova Farmácia Ltda,VAREJO,Belo Horizonte,MG,SE
81,180059.6281931304,1226,146.86755970075887,4.2505503810330225,20260627,Prime Auto Peças Vip,AUTOMOTIVO,Campinas,SP,SE
12,165235.92464558565,1129,146.35600057182077,4.2703225806451615,20260625,Casa Escola De Idiomas Me,RESTAURANTES,Campinas,SP,SE
89,164806.26699261024,1102,149.55196641797662,3.786936090225564,20260627,Nova Oficina Mecânica Express,AUTOMOTIVO,Vitória,ES,SE
4,146580.59729718705,995,147.31718321325332,4.039229968782518,20260627,Prime Veterinária Me,PET,Curitiba,PR,S
102,138179.74903688525,989,139.71663198876163,4.416335078534032,20260626,Nova Loja De Informática Vip,TECNOLOGIA,Fortaleza,CE,NE
45,136662.37221676737,922,148.22383103770863,4.350904977375565,20260627,Top Assessoria De Crédito Express,SERVICOS,Campinas,SP,SE
63,128196.57526672615,922,139.04183868408478,4.509910913140312,20260622,Bom Academia Vip,SAUDE,Fortaleza,CE,NE
44,123586.99058268446,874,141.4038793852225,4.281279620853081,20260626,Top Auto Peças Me,AUTOMOTIVO,Florianópolis,SC,S
83,119390.42208154107,832,143.4981034633907,3.839650872817955,20260625,Bom Desenvolvimento Web Ltda,TECNOLOGIA,São Paulo,SP,SE
73,113745.25620801041,828,137.37349783576136,4.041708542713567,20260627,Real Curso Técnico Ltda,EDUCACAO,Goiânia,GO,CO
35,112718.66641229295,840,134.18888858606303,4.28,20260622,Global Desenvolvimento Web Executivo,TECNOLOGIA,Campinas,SP,SE
